"Station.label" "Season" "Season.moment" "Depth" "Marine.biome" "Ocean.region" "Biogeographical.province" "Latitude" "Longitude" "Depth.nominal" "Depth.top.min" "Depth.bottom.max" "HCO3" "CO3" "Carbon.total" "Alkalinity.total" "Calcite.saturation.state" "Aragonite.saturation.state" "NO2" "PO4" "NO2NO3" "Si" "NO3" "Temperature" "Salinity" "Density" "Oxygen" "ChlorophyllA" "Ang.scat.coef.470nm" "Opt.backscat.coef.470nm" "Part.backscat.coef" "Fluorescence" "Opt.beam.att.coef.660nm" "Part.beam.att.coef" "PAR.TO" "Ice.free.period" "Moon.phase.prop" "Sunshine.duration" "Iron.5m" "Ammonium.5m" "NO2.5m" "NO3.5m" "Gradient.Surface.temp.SST." "Okubo.Weiss" "Lyapunov" "Residence.time" "acCDOM" "Depth.euph.zone" "Depth.Mixed.Layer" "Depth.chloro.max" "Depth.max.Brunt.Väisälä" "Depth.Max.O2" "Depth.Min.O2" "Depth.nitracline" "Carbon.flux" "DepthBathy" "Coast_Distance"
"TARA_001_SRF" "TARA_001" "summer" "summer_late" "SRF" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NADR] North Atlantic Drift Province (MRGID:21453)" 44.4013 -9.8273 9 3 15 NA NA NA NA NA NA NA NA NA NA NA 18.69675 35.9095 25.77715 NA 0.183605 NA NA NA NA NA NA 15.759655 365 0.92 776 0.00129276525694877 0.0177821065299213 0.0331985616746048 0.00659389568803211 0.39136 -0.11994 0.075851 10.972222 0.0244652144610882 60.0243377685547 25 37 36 NA NA NA NA -4948 143.7212
"TARA_001_ZZZ" "TARA_001" "summer" "summer_late" "ZZZ" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NADR] North Atlantic Drift Province (MRGID:21453)" 44.4013 -9.8273 NA 0 500 NA NA NA NA NA NA NA NA NA NA NA 11.83475 36.20645 27.5709 NA 0.131888 NA NA NA NA NA NA 0 365 0.92 776 0.00129276525694877 0.0177821065299213 0.0331985616746048 0.00659389568803211 0.39136 -0.11994 0.075851 10.972222 0.0244652144610882 60.0243377685547 25 37 36 NA NA NA NA -4948 143.7212
"TARA_002_ZZZ" "TARA_002" "summer" "summer_late" "ZZZ" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)" 39.0564 -10.9808 NA 0 200 NA NA NA NA NA NA NA NA NA NA NA 14.254 36.35005 27.2316 NA 0.204707 NA NA NA NA NA NA 0.019131 365 0.77 762 0.00138665788108483 0.0198571321864923 0.0225396302218239 0.00437129995164772 1.3404 -0.006249 0.044172 2.916667 0.0155978319235146 76.2986793518066 35 61 49 NA NA NA NA -3559 118.4945
"TARA_003_DCM" "TARA_003" "summer" "summer_late" "DCM" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)" 36.631 -10.4073 70 65 75 NA NA NA NA NA NA NA NA NA NA NA 18.28355 36.7455 26.5392 NA 0.249335 NA NA NA NA NA NA 0.295602 365 0.34 750 0.00138742616400123 0.0196206889425715 0.0498364524294933 0.0089967060678949 0.44247 -0.127186 0.062208 25.638889 0.0115046775899827 86.0541839599609 31 78 66 NA NA NA NA -3316 136.9644
"TARA_003_SRF" "TARA_003" "summer" "summer_late" "SRF" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)" 36.732 -10.475 9 3 15 NA NA NA NA NA NA NA NA NA NA NA 21.8185 36.84755 25.6802 NA NA NA NA NA NA NA NA 22.715845 365 0.34 750 0.00138742616400123 0.0196206889425715 0.0498364524294933 0.0089967060678949 0.42763 -0.127186 0.062208 25.638889 0.0115046775899827 86.0541839599609 31 77 66 NA NA NA NA -3316 136.9644
"TARA_004_DCM" "TARA_004" "summer" "summer_late" "DCM" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)" 36.5533 -6.5669 40 35 45 NA NA NA NA NA NA NA NA NA NA NA 16.3584 36.5811 26.8866 NA 0.535777 NA NA NA NA NA NA 0.662801 365 0.15 745 0.00138769762512917 0.0228702432165543 0.0442594382911921 0.00806771474890411 0.8599 NA 0.031746 4 0.0263170916587114 64.1495132446289 11 38 36 NA NA NA NA -49 15.1848
"TARA_004_SRF" "TARA_004" "summer" "summer_late" "SRF" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)" 36.5533 -6.5669 9 3 15 NA NA NA NA NA NA NA NA NA NA NA 20.238088 36.599199 25.909909 NA 0.180403 NA NA NA NA NA NA 14.83481 365 0.15 745 0.00138769762512917 0.0228702432165543 0.0442594382911921 0.00806771474890411 0.73994 NA 0.031746 4 0.0263170916587114 64.1495132446289 12 36 25 NA NA NA NA -49 15.1848
"TARA_004_ZZZ" "TARA_004" "summer" "summer_late" "ZZZ" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)" 36.5533 -6.5669 NA 0 500 NA NA NA NA NA NA NA NA NA NA NA 13.7088 36.4515 27.3775 NA 0.135058 NA NA NA NA NA NA 0 365 0.15 745 0.00138769762512917 0.0228702432165543 0.0442594382911921 0.00806771474890411 0.73994 NA 0.031746 4 0.0263170916587114 64.1495132446289 12 36 25 NA NA NA NA -49 15.1848
"TARA_005_DCM" "TARA_005" "summer" "summer_late" "DCM" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 36.0469 -4.3555 68 63 73 0.0037 0.0119 0.0063 0.0028 0.0035 5e-04 0.3805 0.078 1.8925 1.146 NA 17.582875 37.0328 26.919625 NA 0.341459 NA NA NA NA NA NA 0.300629 365 0.04 733 0.00138742728934934 0.0173675790429115 0.0265678962071737 0.00958477744522194 6.3497 -10.41738 0.28453 13.638889 0.0145371919497848 81.149040222168 38 39 37 NA NA NA NA -1266 54.8537
"TARA_005_SRF" "TARA_005" "summer" "summer_late" "SRF" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 36.0088 -4.5184 9 3 15 0.0213 0.008525 0.246375 0.0067 0.0118 0.00155 0.0215 0.0925 0.3435 0.891375 NA 20.730517 37.05135 26.1051 NA 0.607927 NA NA NA NA NA NA 21.106998 365 0.04 733 0.00138742728934934 0.0173675790429115 0.0265678962071737 0.00958477744522194 6.8109 -10.41738 0.28453 13.638889 0.0166598046198487 74.3231239318848 26 59 61 NA NA NA NA -1266 54.8537
